order_no,gas,max_inlet_pressure,max_outlet_pressure,inlet_connection,outlet_connection,Type
64,MR-0503,Oxygen,25,2.5,G3/4,M16*1.5,Russia Type Regulator
65,MR-0503A,CO2,16,1,G3/4,M16*1.5,Russia Type Regulator
66,MR-0503B,Propane,3,0.5,G7/8,M16*1.5-LH,Russia Type Regulator
67,MR-0601,Oxygen,200,10,W21.8-14,BSP3/8''-RH,Germany Model Zinser Type Regulator
68,MR-0601A,Acetylene,30,1.5,W21.8-14,BSP3/8''-LH,Germany Model Zinser Type Regulator
69,MR-0601B,CO2,200,10,W21.8-14,BSP3/8''-RH,Germany Model Zinser Type Regulator
70,MR-0701,Oxygen,200,10,G5/8'',BSP3/8''-RH,French Model SAF Type Regulator
71,MR-0601A,Acetylene,30,1.5,Clamp,BSP3/8''-LH,French Model SAF Type Regulator
72,MR-0701B,CO2,200,10,G5/8'',BSP3/8''-RH,French Model SAF Type Regulator
73,MR-0801,Oxygen,200,10,G5/8'',BSP3/8''-RH,South-East Asia Type Regulator
74,MR-0801A,Acetylene,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
75,MR-0801B,Propane,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
76,MR-0802,Oxygen,200,10,G5/8'',BSP3/8''-RH,South-East Asia Type Regulator
77,MR-0802A,Acetylene,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
78,MR-0802B,Propane,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
79,MR-0803,Oxygen,200,10,G5/8'',BSP3/8''-RH,South-East Asia Type Regulator
80,MR-0803A,Acetylene,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
81,MR-0803B,Propane,30,1.5,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
82,MR-1101,Oxygen,30000,800,G5/8'',BSP3/8''-RH,Australian Type Regulator
83,MR-1101A,Acetylene,4000,150,G5/8'',BSP3/8''-LH,Australian Type Regulator
84,MR-1101B,Acetylene,4000,150,G5/8'',BSP3/8''-LH,South-East Asia Type Regulator
85,MR-1301,Oxygen,200,10,G5/8'',BSP3/8''-RH,Switzerland Model Gloor Type Regulator
86,MR-1301A,Acetylene,25,1.5,G5/8'',BSP3/8''-LH,Switzerland Model Gloor Type Regulator
87,MR-1301B,CO2,200,10,G5/8'',BSP3/8''-RH,Switzerland Model Gloor Type Regulator
